lemma	pos	ipa	zh	meaning_en
function	noun	/ˈfʌŋkʃn/	功能	the special work done by an organ, tissue, or system
nourishment	noun	/ˈnʌrɪʃmənt/	营养；滋养	food and substances that keep the body alive and growing
nutrient	noun	/ˈnuːtriənt/	营养素	a substance in food used for energy, growth, or repair
blood vessel	phrase	/blʌd ˈvesl/	血管	a tube that carries blood through the body
cardiovascular system	phrase	/ˌkɑːrdioʊˈvæskjələr ˈsɪstəm/	心血管系统	the heart and blood vessels working as one system
skeletal system	phrase	/ˈskelətl ˈsɪstəm/	骨骼系统	the bones and joints that support the body
muscular system	phrase	/ˈmʌskjələr ˈsɪstəm/	肌肉系统	the muscles that move the body and its parts
lymph nodes	phrase	/lɪmf noʊdz/	淋巴结	small filters along lymph vessels that trap microbes and debris
circulatory system	phrase	/ˈsɜːrkjələtɔːri ˈsɪstəm/	循环系统	the system that moves blood around the body
respiratory system	phrase	/ˈrespərətɔːri ˈsɪstəm/	呼吸系统	the airways and lungs used for gas exchange
urinary system	phrase	/ˈjʊrəneri ˈsɪstəm/	泌尿系统	the kidneys and tracts that form and pass urine
endocrine system	phrase	/ˈendoʊkrɪn ˈsɪstəm/	内分泌系统	glands that secrete hormones into the blood
reproductive system	phrase	/ˌriːprəˈdʌktɪv ˈsɪstəm/	生殖系统	organs used for producing offspring
principal	adjective	/ˈprɪnsəpl/	主要的	chief or most important in a structure or function
bone marrow	phrase	/boʊn ˈmæroʊ/	骨髓	the soft tissue inside bones that makes blood cells
cube-shaped	adjective	/kjuːb ʃeɪpt/	立方形的	having the shape of a cube, as some short bones do
interior	adjective	/ɪnˈtɪriər/	内部的	on the inside of a body part or cavity
external	adjective	/ɪkˈstɜːrnl/	外部的	on the outside of the body or an organ
hinge joint	phrase	/hɪndʒ dʒɔɪnt/	屈戌关节；铰链关节	a joint that moves mainly in one plane, like the elbow
pivot joint	phrase	/ˈpɪvət dʒɔɪnt/	车轴关节；枢轴关节	a joint that allows rotation around a long axis
socket	noun	/ˈsɑːkɪt/	关节窝；槽	a hollow that receives another bone or structure
elbow	noun	/ˈelboʊ/	肘	the joint between the upper arm and the forearm
hip joints	phrase	/hɪp dʒɔɪnts/	髋关节	the ball-and-socket joints between femur and pelvis
cushioning	noun	/ˈkʊʃənɪŋ/	衬垫；缓冲	soft tissue or cartilage that spreads load and shock
striated muscles	phrase	/straɪˈeɪtɪd ˈmʌslz/	横纹肌	skeletal muscle with a striped microscopic pattern
smooth muscles	phrase	/smuːð ˈmʌslz/	平滑肌	involuntary muscle of viscera and vessels
voluntary muscles	phrase	/ˈvɑːlənteri ˈmʌslz/	随意肌	muscles under conscious control
fungus	noun	/ˈfʌŋɡəs/	真菌	a yeast or mold that can infect tissue
mental retardation	phrase	/ˈmentl ˌriːtɑːrˈdeɪʃn/	智力障碍（旧称）	an outdated classroom term for intellectual disability
venereal disease	phrase	/vəˈnɪriəl dɪˈziːz/	性病（旧称）	an older name for a sexually transmitted infection
cholera	noun	/ˈkɑːlərə/	霍乱	an acute diarrheal infection usually from contaminated water
typhoid fever	phrase	/ˈtaɪfɔɪd ˈfiːvər/	伤寒	a systemic Salmonella infection with prolonged fever
acute disease	phrase	/əˈkjuːt dɪˈziːz/	急性病	an illness that starts quickly and runs a short course
chronic disease	phrase	/ˈkrɑːnɪk dɪˈziːz/	慢性病	an illness that lasts a long time or recurs
subacute disease	phrase	/ˌsʌbəˈkjuːt dɪˈziːz/	亚急性病	an illness whose course sits between acute and chronic
fatal	adjective	/ˈfeɪtl/	致命的	able to cause death
rheumatic fever	phrase	/ruːˈmætɪk ˈfiːvər/	风湿热	an inflammatory sequel of streptococcal infection
subarachnoid	adjective	/ˌsʌbəˈræknɔɪd/	蛛网膜下的	beneath the arachnoid, as in subarachnoid space
blood poisoning\sepsis	phrase	/ˈsepsɪs/	败血症；脓毒症	systemic infection with a harmful host response
negative feedback control	phrase	/ˈneɡətɪv ˈfiːdbæk kənˈtroʊl/	负反馈调节	a loop in which the product dampens its own production
gastrointestinal tract	phrase	/ˌɡæstroʊɪnˈtestɪnl trækt/	胃肠道	the digestive tube from mouth to anus
cardiac sphincter	phrase	/ˈkɑːrdiæk ˈsfɪŋktər/	贲门括约肌	the sphincter at the esophagus-stomach junction
pyloric sphincter	phrase	/paɪˈlɔːrɪk ˈsfɪŋktər/	幽门括约肌	the sphincter that controls emptying into the duodenum
digestive	adjective	/daɪˈdʒestɪv/	消化的	relating to the breakdown and absorption of food
chyme	noun	/kaɪm/	食糜	the semi-fluid mix of food and gastric juice
duodenum	noun	/ˌduːəˈdiːnəm/	十二指肠	the first part of the small intestine
oral cavity \buccal cavity	phrase	/ˈɔːrəl ˈkævəti/	口腔	the mouth cavity
jejunum	noun	/dʒɪˈdʒuːnəm/	空肠	the middle part of the small intestine
palate	noun	/ˈpælət/	腭	the roof of the mouth
ileum	noun	/ˈɪliəm/	回肠	the last part of the small intestine
chewing	noun	/ˈtʃuːɪŋ/	咀嚼	the act of grinding food with the teeth
cecum	noun	/ˈsiːkəm/	盲肠	the pouch at the start of the large intestine
swallowing	noun	/ˈswɑːloʊɪŋ/	吞咽	the act of moving a bolus from mouth toward the esophagus
rectum	noun	/ˈrektəm/	直肠	the distal large bowel that stores feces
incisor	noun	/ɪnˈsaɪzər/	切牙；门齿	a front cutting tooth
cuspid	noun	/ˈkʌspɪd/	尖牙	a canine tooth
sigmoid colon	phrase	/ˈsɪɡmɔɪd ˈkoʊlən/	乙状结肠	the S-shaped colon before the rectum
ileocecal valve	phrase	/ˌɪlioʊˈsiːkəl vælv/	回盲瓣	the valve between ileum and cecum
molar	noun	/ˈmoʊlər/	磨牙	a back grinding tooth
ascending colon	phrase	/əˈsendɪŋ ˈkoʊlən/	升结肠	the colon running up the right abdomen
cementum	noun	/sɪˈmentəm/	牙骨质	the bony layer covering a tooth root
transverse colon	phrase	/trænzˈvɜːrs ˈkoʊlən/	横结肠	the colon crossing the upper abdomen
descending colon	phrase	/dɪˈsendɪŋ ˈkoʊlən/	降结肠	the colon running down the left abdomen
pulp	noun	/pʌlp/	牙髓	the soft inner tissue of a tooth
stool	noun	/stuːl/	粪便	feces passed from the bowel
enamel	noun	/ɪˈnæml/	牙釉质	the hard outer covering of a tooth crown
anus	noun	/ˈeɪnəs/	肛门	the distal opening of the alimentary canal
periodontium	noun	/ˌperiəˈdɑːntiəm/	牙周组织	the tissues that support a tooth in the jaw
hydrochloric acid	phrase	/ˌhaɪdrəˈklɔːrɪk ˈæsɪd/	盐酸	the strong acid secreted by gastric glands
deciduous dentition	phrase	/dɪˈsɪdʒuəs denˈtɪʃn/	乳牙列	the primary set of teeth in children
permanent dentition	phrase	/ˈpɜːrmənənt denˈtɪʃn/	恒牙列	the adult set of teeth
bile pigment	phrase	/baɪl ˈpɪɡmənt/	胆汁色素	colored bile compounds such as bilirubin
lower jaw	phrase	/ˈloʊər dʒɔː/	下颌	the mandible
papillae	noun	/pəˈpɪliː/	乳头	small nipple-like projections, as on the tongue
blood protein	phrase	/blʌd ˈproʊtiːn/	血浆蛋白	proteins carried in plasma
taste bud	phrase	/teɪst bʌd/	味蕾	a cluster of taste receptors on the tongue
uvula	noun	/ˈjuːvjələ/	腭垂；悬雍垂	the small fleshy tag hanging from the soft palate
parotid gland	phrase	/pəˈrɑːtɪd ɡlænd/	腮腺	the large salivary gland in front of the ear
cilia	noun	/ˈsɪliə/	纤毛	hair-like projections that move mucus or fluid
submandibular gland	phrase	/ˌsʌbmænˈdɪbjələr ɡlænd/	下颌下腺	a salivary gland under the mandible
amylase	noun	/ˈæməleɪs/	淀粉酶	an enzyme that digests starch
lipase	noun	/ˈlaɪpeɪs/	脂肪酶	an enzyme that digests fat
hepatic duct	phrase	/hɪˈpætɪk dʌkt/	肝管	a duct carrying bile from the liver
cystic duct	phrase	/ˈsɪstɪk dʌkt/	胆囊管	the duct joining the gallbladder to the bile duct
nasal cavity	phrase	/ˈneɪzl ˈkævəti/	鼻腔	the air space inside the nose
common bile duct	phrase	/ˈkɑːmən baɪl dʌkt/	胆总管	the duct that carries bile into the duodenum
detoxification	noun	/diːˌtɑːksɪfɪˈkeɪʃn/	解毒	the process of making a harmful substance less toxic
fundus	noun	/ˈfʌndəs/	底；底部	the part of a hollow organ farthest from its opening
