lemma	pos	ipa	zh	meaning_en
anatomy	noun	/əˈnætəmi/	解剖学	the study of body structure
physiology	noun	/ˌfɪziˈɑːlədʒi/	生理学	the study of how the body functions
pathology	noun	/pəˈθɑːlədʒi/	病理学	the study of disease and tissue change
histology	noun	/hɪˈstɑːlədʒi/	组织学	the microscopic study of tissues
embryology	noun	/ˌembriˈɑːlədʒi/	胚胎学	the study of development before birth
hematology	noun	/ˌhiːməˈtɑːlədʒi/	血液学	the study of blood and blood-forming organs
immunology	noun	/ˌɪmjəˈnɑːlədʒi/	免疫学	the study of host defense against infection
cytology	noun	/saɪˈtɑːlədʒi/	细胞学	the study of cells, often from smears
endocrinology	noun	/ˌendoʊkrəˈnɑːlədʒi/	内分泌学	the study of hormones and endocrine glands
psychology	noun	/saɪˈkɑːlədʒi/	心理学	the study of mind, emotion, and behavior
biology	noun	/baɪˈɑːlədʒi/	生物学	the study of living organisms
cardiovascular	adjective	/ˌkɑːrdioʊˈvæskjələr/	心血管的	relating to the heart and blood vessels
lymphatic	adjective	/lɪmˈfætɪk/	淋巴的	relating to lymph or lymphatic vessels
circulatory	adjective	/ˈsɜːrkjələtɔːri/	循环的	relating to blood circulation
respiratory	adjective	/ˈrespərətɔːri/	呼吸的	relating to breathing and the airways
urinary	adjective	/ˈjʊrəneri/	泌尿的	relating to urine formation and outflow
endocrine	adjective	/ˈendoʊkrɪn/	内分泌的	relating to hormone-secreting glands
reproductive	adjective	/ˌriːprəˈdʌktɪv/	生殖的	relating to organs of reproduction
gastrointestinal	adjective	/ˌɡæstroʊɪnˈtestɪnl/	胃肠的	relating to the stomach and intestines
stomatitis	noun	/ˌstoʊməˈtaɪtɪs/	口腔炎	inflammation of the mouth lining
colitis	noun	/kəˈlaɪtɪs/	结肠炎	inflammation of the colon
hepatitis	noun	/ˌhepəˈtaɪtɪs/	肝炎	inflammation of the liver
pathogen	noun	/ˈpæθədʒən/	病原体	a microbe that can cause disease
asymptomatic	adjective	/ˌeɪsɪmptəˈmætɪk/	无症状的	having no symptoms despite disease or carriage
symptomatic	adjective	/ˌsɪmptəˈmætɪk/	有症状的	showing symptoms of a disease
apnea	noun	/ˈæpniə/	呼吸暂停	a pause in breathing
atonia	noun	/eɪˈtoʊniə/	张力缺乏	loss of normal muscle tone
subacute	adjective	/ˌsʌbəˈkjuːt/	亚急性的	between acute and chronic in time course
epidemic	adjective	/ˌepɪˈdemɪk/	流行的	spreading widely through a population in a short time
endemic	adjective	/enˈdemɪk/	地方性的	constantly present in a particular region
antigen	noun	/ˈæntɪdʒən/	抗原	a molecule that can trigger an immune response
antibody	noun	/ˈæntibɑːdi/	抗体	a protein that binds a specific antigen
immunoglobulin	noun	/ˌɪmjənoʊˈɡlɑːbjəlɪn/	免疫球蛋白	an antibody protein class such as IgG or IgM
phagocyte	noun	/ˈfæɡəsaɪt/	吞噬细胞	a cell that engulfs microbes or debris
degeneration	noun	/dɪˌdʒenəˈreɪʃn/	退化	deterioration of tissue structure or function
malfunction	noun	/ˌmælˈfʌŋkʃn/	功能失调	failure of an organ or device to work normally
malnutrition	noun	/ˌmælnuːˈtrɪʃn/	营养不良	poor nutrition from deficit, excess, or imbalance
sublingual	adjective	/ˌsʌbˈlɪŋɡwəl/	舌下的	under the tongue, a common drug route
epiglottis	noun	/ˌepɪˈɡlɑːtɪs/	会厌	the flap that covers the larynx during swallowing
peristalsis	noun	/ˌperɪˈstælsɪs/	蠕动	wave-like muscle contraction that moves gut contents
ingestion	noun	/ɪnˈdʒestʃən/	摄入	taking food, fluid, or a substance by mouth
cardiac	adjective	/ˈkɑːrdiæk/	心脏的	relating to the heart
paralysis	noun	/pəˈræləsɪs/	麻痹	loss of the ability to move a part of the body
artery	noun	/ˈɑːrtəri/	动脉	a vessel that carries blood away from the heart
vein	noun	/veɪn/	静脉	a vessel that returns blood toward the heart
capillary	noun	/ˈkæpəleri/	毛细血管	the thinnest vessel where exchange occurs
spleen	noun	/spliːn/	脾	the abdominal organ that filters blood and stores platelets
esophagus	noun	/ɪˈsɑːfəɡəs/	食管	the muscular tube from pharynx to stomach
trachea	noun	/ˈtreɪkiə/	气管	the windpipe from larynx to the bronchi
gallbladder	noun	/ˈɡɔːlblædər/	胆囊	the sac that stores and concentrates bile
pancreas	noun	/ˈpæŋkriəs/	胰腺	the gland that makes digestive enzymes and insulin
cartilage	noun	/ˈkɑːrtɪlɪdʒ/	软骨	flexible connective tissue covering joints and airways
ureter	noun	/ˈjʊrətər/	输尿管	the tube that carries urine from kidney to bladder
thyroid	noun	/ˈθaɪrɔɪd/	甲状腺	the neck gland that sets metabolic rate
